date,price,portfolio_value,long_shares,short_shares,long_position,short_position,cash,long_action,short_action,returns,benchmark_portfolio_value,benchmark_long_shares,benchmark_short_shares,benchmark_long_position,benchmark_short_position,benchmark_cash,benchmark_returns
2016-01-13,0.7362505,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1792161.2566364172,2434173.16328533,0.0,1792161.2566364172,0.0,0.0,0.016846217215061188
2016-01-14,0.7138066,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1737528.94052733,2434173.16328533,0.0,1737528.94052733,0.0,0.0,-0.030484041199088097
2016-01-15,0.6994135,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1702493.5190992067,2434173.16328533,0.0,1702493.5190992067,0.0,0.0,-0.02016393467783928
2016-01-19,0.66135705,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1609857.5707113703,2434173.16328533,0.0,1609857.5707113703,0.0,0.0,-0.05441192537546158
2016-01-20,0.66672397,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1622921.5868132396,2434173.16328533,0.0,1622921.5868132396,0.0,0.0,0.008115014061331749
2016-01-21,0.670383,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1631828.2505974907,2434173.16328533,0.0,1631828.2505974907,0.0,0.0,0.005488043185323477
2016-01-22,0.6781898,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1650831.4450731191,2434173.16328533,0.0,1650831.4450731191,0.0,0.0,0.01164533942937851
2016-01-25,0.69404674,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1689429.9382614177,2434173.16328533,0.0,1689429.9382614177,0.0,0.0,0.023381244391202927
2016-01-26,0.6933148,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1687648.2572933033,2434173.16328533,0.0,1687648.2572933033,0.0,0.0,-0.001054604770615697
2016-01-27,0.7001453,1998750.0,0.0,0.0,0.0,0.0,1998750.0,0.0,0.0,0.0,1704274.9098912675,2434173.16328533,0.0,1704274.9098912675,0.0,0.0,0.009851966053247452
